pH,TDS,DO,K,Na,Ca,Mg,Cl,SO4,NO3,HCO3,S34SO4,O18SO4,O18H2O,H2H2O
2.136530509,5.693732139,2.556451817,1.719188776,4.113329862,3.722797672,2.847232265,4.102312732,3.831463498,1.410986974,5.30711592,9.1,5.5,-4.6,-35
2.123458427,5.247024072,2.451005098,1.477048724,3.386760334,3.534270336,2.429217744,3.566429294,3.260017768,1.223775432,4.944753082,8.2,6.3,-3.8,-28
2.138889,6.075346031,2.152924318,2.141241943,4.640247713,3.973494328,3.208825489,4.525260803,4.417152437,2.004179057,5.582941379,8.6,5.8,-5.6,-42
2.17588744,6.086774727,2.094330154,2.194999882,4.655673168,4.033000932,3.16463081,4.541164856,4.614328124,2.337952237,5.565846945,8.6,5.1,-5.7,-43
2.123458427,6.150602768,1.954445052,2.225704049,4.719837261,4.062681882,3.205587931,4.616901109,4.643621372,2.695302628,5.610798333,8.6,5.1,-6.1,-45
2.14710019,6.154858094,2.583997552,2.290512512,4.747624154,4.015120963,3.227240741,4.691531352,4.887487896,2.68988623,5.536690361,8.3,6.3,-6.6,-48
2.115049969,6.148468296,2.212660385,2.275213896,4.742930126,4.021056766,3.226843995,4.723042107,4.851952136,2.675527009,5.545526943,12,7.2,-6.4,-47
2.083184528,6.115892125,1.95160817,2.279316466,4.606768907,4.082103276,3.176385773,4.684166192,4.76873357,3.194173212,5.527774998,13.8,5.7,-7.2,-50
2.105352923,6.182084907,2.068127782,2.413231613,4.682408966,4.175002465,3.252310601,4.832465108,4.80811103,3.386422096,5.574430689,15.5,7.6,-7.1,-50
2.136530509,6.335054251,2.365559892,2.382320061,5.026771076,4.092509546,3.328626689,5.13914577,5.047288612,2.733067964,5.703943417,15.4,5.7,-6.8,-49
2.088153482,6.194405391,2.056684555,2.442347035,4.696746129,4.207375584,3.274499729,4.892752253,4.890273937,3.540089381,5.596044456,14.6,4.4,-7.3,-51
2.091864062,6.169610732,2.472327868,2.466403178,4.620649757,4.189351666,3.239462458,4.636378113,4.622223941,3.404857342,5.528413055,14.1,6.1,-7.4,-52
2.101692151,6.21860012,2.223541886,2.422144328,4.682871694,4.227709274,3.349202087,4.653007515,4.701207374,3.354105774,5.622927796,13.3,5.7,-7.5,-52
2.123458427,6.144185634,2.783157674,2.436241478,4.556295018,4.22566518,3.204371139,4.592591404,4.505570821,3.423284978,5.522565085,12.4,4.3,-7.7,-53
2.104134154,6.434546519,2.101692151,2.140066163,4.36195147,4.076010856,3.151025158,4.411099882,4.695741884,2.347558459,5.318303722,11.3,6.1,-3.2,-28
2.121063216,5.774551546,2.87525812,1.89761986,4.124550404,3.945457782,2.937043277,4.212127598,4.68914362,0.463734016,5.003888588,13.1,6.3,-5.3,-40
2.129421474,6.169610732,2.561095788,2.422144328,4.581184823,4.260706099,3.25347047,4.651194624,4.631617356,3.448398983,5.513728504,10.1,5,-7.7,-53
2.12704052,6.419994928,2.064327904,1.941615225,4.235844124,4.234975692,3.014554028,4.37964881,4.793225275,1.968509981,5.251364239,13.4,6.4,-4,-33
2.106570209,5.786897381,2.266957915,1.305626458,2.937573359,3.917408478,2.741484977,3.265759411,3.061988069,-0.562118918,5.318303722,11.7,5.7,-5,-38
2.118662255,6.481577129,2.266957915,1.976854953,4.291554732,4.412798293,3.010128154,4.400971051,4.847174745,2.486571929,5.384414747,12.5,6.4,-4.7,-36
2.083184528,6.480044562,3.104138147,1.85629799,4.196449785,4.500476115,2.896464272,4.250065437,4.781054401,3.515418526,5.350164824,11.5,6.9,-5,-36
2.156402583,6.56667243,3.317453388,1.899117988,4.4893103,4.418358564,3.046425388,4.472780998,5.041552397,2.2782924,5.377657965,12.8,9.4,-4.2,-33
2.148267733,6.453624999,2.871868286,1.85159947,4.186923744,4.488186831,2.887032857,4.257171778,4.775925106,3.440738556,5.314700114,11.3,7,-5,-36
2.136530509,6.184148891,2.1690537,0.631271777,3.133753571,4.596230344,2.764430535,3.264613717,4.711330382,0.329303747,5.407710309,14.6,10.5,-5.1,-37
2.129421474,5.780743516,2.363680192,0.879626748,2.87356464,3.990834186,2.77133794,2.982647034,3.804660487,1.01884732,5.124404611,13.4,7.7,-5.8,-41
2.099244169,5.017279837,2.740840024,0.779324877,2.473171394,3.788045826,2.193885676,2.142416341,3.623807457,0.39877612,4.932429623,11.2,7.6,-4.7,-35
2.088153482,4.525044142,2.585505848,0.292669614,2.577941516,3.592093185,1.791759469,2.122261539,3.472897696,0.418710335,4.701317902,9.4,6.2,-6.7,-44
2.095560924,6.28785856,2.402430428,1.530394705,3.629660094,4.470037512,3.000222179,3.955082495,4.633077139,2.337952237,5.364005875,12.7,7.5,-5.5,-40
2.106570209,6.401917197,2.540025949,1.337629189,3.838376465,4.511957804,3.088311455,4.310127759,4.870990012,2.884241898,5.204111354,13.9,5.4,-5.9,-41
2.115049969,5.755742214,2.391511302,1.00063188,3.380314171,4.570578741,3.01406323,4.001498012,4.709800435,2.888147063,5.277931266,14.5,7.1,-6.4,-44
2.081938422,5.225746674,2.480731278,0.662687973,2.579458967,4.075671297,2.267993648,2.78192005,3.865560131,1.619388243,5.051974774,9.8,5.4,-6.8,-45
2.183801557,6.255750042,3.194583132,2.547881449,4.778114581,4.359525369,3.505257052,4.781725148,4.906089261,3.459780706,5.630853861,8.6,6.649782051,-7,-48
2.118662255,6.378426184,2.850706502,2.660259537,5.010701959,4.212720015,3.541538866,4.930653696,4.924568925,2.883123329,5.756790698,10.1,6,-7.5,-53
2.16676537,6.276643489,2.670002133,2.402430428,4.69217323,4.437461342,3.473828073,4.812103051,4.847331743,3.741946175,5.604185614,9.4,6.139794872,-6.9,-48
2.104134154,5.655991811,2.85819286,2.041220329,3.706228092,4.092175545,2.964757469,3.686626919,4.35221155,1.814824742,5.231946153,9.9,5.525769231,-6.4,-44
2.083184528,5.023880521,2.250238613,0.717839793,2.046401688,3.863042823,2.237513096,2.079441542,3.256942026,1.401182974,4.937706681,9.4,3.740487179,-7,-45
2.017566138,5.874930731,1.690095815,0.371563556,3.07176696,4.720728527,3.075467242,3.723763856,4.043051268,1.446918983,5.752139527,16.1,8.526525641,-6.4,-47
2.1102132,6.098074282,2.775085602,2.3580198,4.496136265,4.221711158,3.188416617,4.55492897,4.536891345,3.2820384,5.480642779,8.7,6.170794872,-8,-56
2.121063216,6.098074282,2.408745289,2.376764491,4.504576071,4.233381604,3.161670351,4.541697763,4.517322095,3.340385242,5.534227025,8.7,4.784288462,-8.1,-56
2.09679018,6.077642243,2.447550863,2.357073278,4.514369822,4.156849768,3.180966252,4.550608398,4.524285457,3.238286218,5.480642779,8.6,4.963711538,-8.1,-56
2.111424588,6.104793232,2.435366204,2.20386912,4.501364017,4.25020806,3.270708974,4.512835575,4.579134171,3.289893312,5.537121383,9,4.875134615,-8.3,-58
2.054123734,5.891644212,2.144761008,2.145931283,4.495801649,3.964615456,3.139399623,4.526235198,4.517103707,2.157559321,5.39007719,9.9,8.5,-5.3,-37.34
2.041220329,5.655991811,2.157559321,2.116255515,4.136765278,3.843530009,2.889260029,4.255045173,4.20514028,1.91839212,5.187879777,9.2,12.3,-4.6,-31.66
2.054123734,6.09356977,2.174751721,2.297572551,4.752296251,4.141387169,3.327909586,4.764052511,4.809986821,2.385086315,5.563972806,9.7,13.2,-6,-43.22
2.041220329,6.073044534,2.16791019,2.32630162,4.739701079,4.112348187,3.321793359,4.729244501,4.775503503,2.463001814,5.542592011,9.4,13.6,-6.2,-44.15
2.041220329,6.059123196,2.046401688,2.291524146,4.702569092,4.085471984,3.343568269,4.729421148,4.81818259,2.251291799,5.496352619,9.3,11.2,-6.2,-45.15
2.066862759,6.018593214,2.07819076,2.223541886,4.620255823,4.127940512,3.284288963,4.685366728,4.862444596,2.336019869,5.42603612,10.3,6.9,-6,-43.93
2.028148247,6.054439346,2.159868791,2.270061901,4.734003058,3.939054344,3.363841595,4.753331537,4.819313355,1.800058272,5.437013179,9.8,12.9,-5.7,-41.05
2.054123734,6.018593214,2.33020026,2.251291799,4.654721965,4.047252955,3.300271463,4.687118769,4.848743619,2.527327366,5.423826175,9.5,12.3,-6.6,-46.13
2.041220329,5.855071922,2.046401688,2.224623552,4.436988193,3.883417748,3.162940193,4.523092075,4.600860914,2.457021446,5.281405834,10.1,12.9,-6.5,-45.41
2.066862759,6.059123196,2.22678338,2.079441542,4.828953533,3.945070859,3.3304172,4.70311326,4.910814959,-0.867500568,5.504623485,9,6.7,-5.7,-42.06
2.091864062,5.837730447,2.266957915,2.22028985,4.429625613,3.899747975,3.162093811,4.523092075,4.576359104,2.415913778,5.245715563,9.9,12.8,-6.5,-45.1
2.014903021,5.723585102,1.788420568,2.24495598,4.240607069,3.80999028,3.065724645,4.303929949,4.455741672,2.357073278,5.168965581,8.6,13.5,-6.1,-42.54
2.014903021,5.746203191,1.786746927,2.22028985,4.278470047,3.801538272,3.093766014,4.33323022,4.493232533,2.46894663,5.17747627,9,13.2,-6.1,-42.05
2.028148247,5.771441123,1.935859813,2.311544834,4.324662317,3.797958049,3.112626025,4.402564286,4.508549147,2.423031246,5.185915139,8.8,13.1,-6.1,-42.51
2.174751721,6.238324625,2.753660712,1.93441577,4.254335299,3.897924081,3.022374205,4.342765921,4.818425005,2.063058062,5.245715563,9.5,8.7,-4.3,-31.51
2.219203484,6.230481448,2.694627181,1.998773639,4.337290741,3.601413428,3.118834471,4.433788569,4.87458645,1.70837786,4.741901361,10.1,10,-4.4,-31.36
2.014903021,5.720311777,1.621366483,2.414126468,4.334803991,3.621670704,3.040227513,4.427477898,4.453300237,-0.051293294,5.07023074,9.2,15.7,-6.8,-45.21
2.163323026,6.154858094,2.299580584,1.780024213,4.148990563,3.900355201,2.95438931,4.258162647,4.772970146,0.438254931,4.971139837,11.9,8.8,-4.4,-32.13
2.079441542,5.575949103,2.064327904,0.940007258,2.91939104,3.580180037,2.716018371,3.299902664,3.01406323,-0.693147181,5.101192966,10.8,6.3,-4.2,-30.2
2.091864062,5.746203191,2.017566138,1.302912752,3.311637305,3.73098063,2.770085592,3.643097261,3.784189634,0.438254931,5.018606375,11.2,9.7,-4.1,-29.86
2.128231706,6.200509174,2.318458442,1.601405741,4.035478809,4.136445738,2.801540544,4.111529387,4.681946025,1.335001067,5.194283389,11.2,10.1,-4.7,-33.77
2.174751721,6.395261598,2.592265168,1.808288771,4.508989628,4.043226691,3.174296781,4.49925396,5.120625078,0.553885113,4.967661573,12.4,11.2,-4.2,-32.12
2.00148,6.240275845,1.809926773,1.736951233,4.119037175,4.256605125,2.847812143,4.108740443,4.658805735,2.223541886,5.256214347,10.4,8.9,-4.9,-34.6
2.116255515,5.802118375,2.3896798,0.418710335,2.965273066,4.207375584,2.617395833,2.955430977,4.154969184,0.139761942,5.229757777,16.8,11.5,-5.2,-37.14
2.128231706,5.541263545,2.285438934,0.604315967,3.068052935,3.732657076,2.683074215,3.003700443,3.699077279,-0.301105093,4.978060281,12.7,8.7,-4,-31.68
2.163323026,5.416100402,1.887069649,0.770108222,2.553343811,3.817052768,2.252343877,2.273156282,3.776661367,0.19062036,4.887909183,10.2,9.6,-4.3,-32.24
2.151762203,5.129898715,2.012232792,0.385262401,2.660259537,3.382014562,1.652497402,2.076938411,3.328626689,-0.261364764,4.611484265,11.1,11.2,-6.4,-42.96
2.140066163,6.11368218,2.712042222,1.467874348,3.697095609,4.113166316,3.115735066,4.184946707,4.875120984,1.332366019,4.701806904,13.5,8.9,-4.7,-36.08
2.163323026,6.021023349,2.975529566,0.963174318,3.454106037,4.202301704,2.874129452,4.108904714,4.739001534,2.263844265,4.631189337,15.5,10.1,-5.2,-39.49
2.151762203,6.035481433,2.235376343,1.337629189,3.623807457,4.118386557,2.933324813,3.972365234,4.799173248,0.717839793,4.88033339,9.5,10.1,-5,-37.96
2.151762203,5.424950017,2.994231147,0.871293366,2.922085733,3.712595981,1.998773639,3.233567374,3.414113607,1.425515074,4.772011163,9,13.8,-6.6,-44.85
2.197224577,6.37502482,2.981126121,2.444952334,4.49669371,3.783962335,3.338612506,4.562158295,4.723486413,1.940179474,5.264016727,10.2,8.9,-5.3,-38.76
2.163323026,6.561030666,2.513656063,2.709382646,4.848743619,3.606855619,3.477540948,4.842532175,4.889822674,0.620576488,5.41742694,9.7,8.9,-5.8,-42.62
2.116255515,6.507277712,2.178155015,2.612273246,4.638024523,4.094344562,2.788708104,4.58108239,4.720193863,3.194173212,5.454508615,8,9.3,-6,-42.9
2.163323026,5.796057751,2.445819261,1.635105659,3.455369861,3.852697539,2.786245049,3.506457892,3.853121898,1.415853163,5.22438142,12.2,9.3,-5.8,-41.34
2.163323026,5.241747015,2.31944221,0.631271777,1.742219024,3.703028877,2.135349174,1.437462648,3.240245851,1.340250423,4.899166338,8.3,12.5,-7.5,-48.24
2.163323026,6.045005314,2.284421122,1.45395301,3.530762586,4.169915749,3.088311455,4.039888376,4.109233175,1.381281819,5.266604051,14,8.3,-3.9,-36.35
2.104134154,5.80814249,2.189416395,2.385086315,4.329943555,3.72231423,3.104138147,4.438525109,4.487174628,2.337952237,5.148821015,9.3,13,-7,-50.24
2.066862759,5.826000107,1.906575144,2.218115936,4.459219131,3.741946175,3.205587931,4.519285447,4.639281716,2.295560478,5.157504138,9.2,13.1,-7.1,-51.2
2.079441542,5.693732139,2.104134154,2.211565695,4.214790715,3.787139823,3.036394255,4.337029269,4.327438444,2.498973907,5.185915139,9.3,12.1,-7.1,-50.35
2.116255515,5.602118821,2.131796772,2.180417459,4.095510549,3.805550761,2.968874819,4.236278058,4.236278058,2.289499853,5.057572344,9.4,12.9,-7.1,-50.57
2.041220329,5.564520407,1.45395301,1.316408234,3.054472769,3.65790465,2.451866796,3.319263999,3.104586678,0.425267735,5.018725364,7.7,1,-9.2,-65
2.028148247,5.105945474,1.353254507,1.085189268,2.24495598,3.300271463,1.968509981,2.821378886,2.456164181,-0.287682072,4.611619567,7.1,-5.3,-9.5,-67
2.066862759,6.313548046,1.068153081,1.785070481,4.049172844,4.372607413,3.252310601,4.266475482,4.183575696,-0.287682072,5.740953754,8.3,0.8,-8.2,-59
2.066862759,6.65415252,1.291983682,1.774952351,4.10346947,4.354783898,3.238678452,4.26703657,4.223323943,1.859418118,5.688654255,8.3,0.4,-8.1,-58
2.091864062,6.49677499,1.508511994,1.771556762,4.254335299,4.556295018,3.468544455,4.475630815,4.325059379,-0.328504067,5.915816566,7.9,2.6,-7.8,-55
2.104134154,6.350885717,1.840549633,1.961502244,4.318953706,4.214199524,3.258481079,4.382026635,4.390614652,2.228938553,5.640535007,8.9,4.7,-8.1,-59
2.066862759,6.440946541,1.534714366,1.654411278,4.10660246,4.49925396,3.384051223,4.375505418,4.200804473,-0.356674944,5.866491499,8.1,5.2,-7.8,-55
2.041220329,6.186208624,1.085189268,2.014903021,4.146462516,3.998200702,2.955430977,4.153556422,4.422808628,1.728109442,5.409880928,7.5,6.3,-9,-64
2.066862759,6.214608098,1.470175845,1.954445052,4.136605521,4.10148567,2.998229154,4.209160237,4.301629698,-0.116533816,5.478430241,8.2,5,-8.6,-62
2.151762203,6.723832441,2.587764035,2.141241943,4.742755849,4.606569207,3.665098925,4.730039168,4.767884096,3.096934154,6.042472774,8.5,6.6,-8.1,-57
2.041220329,6.118097198,0.727548607,1.930071085,4.042700329,4.092509546,2.894253105,4.122770036,4.239454497,1.591273942,5.355197601,9.3,4.5,-8.7,-63
2.104134154,6.12905021,1.773255998,1.968509981,4.030872139,3.965942847,2.932259851,4.085135623,4.406109305,-0.494296322,5.282349868,9.9,4,-8,-59
2.079441542,6.464588304,1.40854497,2.085672091,4.609062601,3.962525988,3.521347983,4.482211279,4.748144355,1.335001067,5.697008522,8.4,6.1,-8.8,-63
2.091864062,6.148468296,1.556037136,2.000127735,4.023743255,4.031759687,2.967332799,4.121797589,4.475403128,1.425515074,5.341046422,10.5,4.5,-8,-58
2.028148247,5.863631176,1.717395054,1.54329811,3.468544455,4.042524813,2.623943692,3.666122467,4.289774275,2.042518188,5.015441289,10,4.1,-8,-59
2.079441542,5.872117789,1.943048917,1.566530411,3.469167508,4.012049319,2.62756295,3.683364273,4.276388303,2.037316615,5.066734584,10.9,3.6,-7.9,-59
2.066862759,6.274762021,1.386294361,2.336019869,4.357221516,3.916015027,3.102791346,4.389870789,4.478472533,2.098017927,5.369151316,8,4.7,-8.7,-61
2.028148247,5.669880923,1.587192303,1.32972401,2.976549454,3.924741778,2.483238593,3.3127304,3.924741778,1.593308531,4.957895804,10.6,3.8,-8.1,-59
2.028148247,5.351858133,1.69744879,1.085189268,2.207174908,3.711863291,2.332143895,2.994731773,3.243373296,1.444563269,4.736492897,8.6,4.6,-9.4,-67
2.014903021,5.874930731,0.797507196,1.5518088,3.463546007,4.127779338,2.645465326,3.589887505,4.321878462,0.887891257,5.209210232,12,4.7,-7.1,-51
2.014903021,5.723585102,1.378766095,1.196948189,3.094672221,3.984715691,2.493205453,3.07408124,4.206184044,1.420695788,5.034985885,15,6.1,-6.5,-46
2.151762203,6.326149473,2.379546134,1.846878768,4.555769836,4.213164098,2.904712875,4.348469851,5.233778845,1.652497402,4.907885383,11,4.8,-6.9,-51
2.014903021,5.683579767,1.150572028,1.217875709,3.098288862,4.008241863,2.517696473,3.090587805,4.222151267,1.819698838,4.904215654,11.7,5.4,-6.3,-45
2.163323026,5.609471795,2.430978308,0.797507196,2.751748056,4.019261756,2.50389195,2.835563521,4.02123609,-0.371063681,4.835747855,14.7,7.2,-5.8,-42
2.041220329,5.393627546,1.553925203,0.712949808,2.33020026,3.857355604,2.232162629,2.33408376,3.671478939,1.930071085,4.819874505,9.1,-1.9,-10.1,-70
2.091864062,5.187385806,2.13771045,1.057790294,2.181546765,3.632309103,2.071913275,2.038619547,3.481855285,1.17557333,4.621423567,9.3,-0.9,-7.9,-57
2.079441542,4.912654886,1.975468951,0.512823626,1.961502244,3.412796518,1.512927012,1.463255402,3.397523976,2.31944221,4.076380788,6.9,-1.7,-6.7,-50
2.140066163,6.054439346,2.527327366,1.430311247,3.523119986,4.333492688,2.955430977,3.960622675,4.468319003,1.458615023,5.047806574,12.1,3.8,-6.8,-51
2.116255515,5.908082938,2.034705648,1.004301609,3.527830033,4.055083848,2.786861382,4.111856987,4.476768471,1.373715579,4.485799394,13.6,1.7,-6.6,-50
2.104134154,5.616771098,2.163323026,0.943905899,2.869601996,4.066287964,2.451866796,3.111290614,3.982295058,1.193922468,4.975976214,8.5,0.8,-8,-56
2.104134154,5.010635294,2.091864062,0.698134722,2.000127735,3.452524009,1.521698998,1.978239036,3.229617921,2.428336298,4.196253388,9.3,3.1,-10.6,-73
2.128231706,6.300785795,2.234306252,2.381396273,4.423768206,4.042349267,3.356897123,4.469121342,4.570992734,2.207174908,5.513021686,8.6,2.4,-7.9,-57
2.140066163,6.343880434,2.473171394,2.407845604,4.589650374,3.911822985,3.271468275,4.602667056,4.4837932,-0.400477567,5.507003614,14.5,-1.1,-8.2,-60
2.041220329,6.276643489,1.528227857,2.020222182,4.244487221,4.164647686,3.185525845,4.261270434,4.498586701,0.636576829,5.444742846,7.5,-1.3,-8,-58
2.00148,5.697093487,1.581038438,1.754403683,3.245322995,3.913422026,2.651127054,3.363149314,3.822973189,-0.274436846,5.1900578,10.8,2.1,-7.6,-54
2.140066163,5.093750201,2.051556338,0.536493371,1.680827909,3.613347392,2.104134154,1.460937904,3.419691964,1.187843422,4.567693112,8.8,0.4,-8,-52
2.197224577,5.746203191,3.106378794,1.297463147,3.150596984,3.996364154,2.992226134,3.783052624,4.041822443,-0.328504067,4.957895804,13.5,4.1,-10.9,-74
2.140066163,6.249975242,1.953027617,2.383242996,4.356324137,3.887320393,3.075467242,4.409520199,4.459334838,2.776331709,5.243834196,7.7,4.1,-8.6,-61
2.116255515,6.23636959,1.800058272,2.358965426,4.355169181,3.844814256,3.060583246,4.385520524,4.450502706,2.724579503,5.254250957,7.5,5.3,-8.7,-61
2.116255515,6.274762021,2.225704049,2.354228326,4.314684186,3.965374181,3.080992118,4.438406968,4.383525511,3.097837496,5.312128744,10.5,5.2,-8.5,-60
2.186051277,6.29156914,2.574137784,2.231089091,4.406353327,3.828206519,3.147164977,4.359525369,4.527857083,3.012589391,5.211589709,8.4,4.8,-8.5,-61
